aerolinea_codigo,aerolinea_nombre,vuelos,asientos_totales,rutas,meses
AR,Aerolíneas Argentinas,10,1500,4,1
CM,Copa Airlines,6,972,1,1
DM,Arajet,4,740,1,1
LA,LATAM Airlines,3,522,2,1
G3,GOL Linhas Aéreas,2,372,1,1
