vuelo,direccion,horario_local,horario_real,horario_estimado,estado,origen_destino,aeropuerto_iata,ruta,aerolinea_codigo,aerolinea_nombre,aerolinea_color,puerta,sector,matricula,modelo_avion,fabricante,icao_type_code,icao24_hex,operador,fuentes,id_externo,confianza,_nota,asientos
1704,Arrival,2026-09-25T09:40,2026-09-25T09:38,,Aterrizó,Bariloche (BRC),BRC,BRC → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-FUC,Boeing 737-8SH,Boeing,B738,e06543,,fids+fr24,da2d38db-fabe-4524-99dc-6a4bb4243373,real,,170
1715,Departure,2026-09-25T10:20,2026-09-25T10:35,,Despegó,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,3,A,LV-FUC,Boeing 737-8SH,Boeing,B738,e06543,Aerolineas Argentinas,fids+fr24,6da17ed0-dfa9-40aa-ba0b-e1b3616ed9c6,real,,170
8170,Arrival,2026-09-25T11:40,2026-09-25T11:45,,Aterrizó,São Paulo (GRU),GRU,GRU → ROS,LA,LATAM Airlines,#0B044E,,,PR-XBO,Airbus A320neo,Airbus,A20N,e49aaa,LATAM Airlines,fids+fr24,9b8e7e40-11d9-4f68-88bc-3783609bf25d,historico,histórico FR24,174
8171,Departure,2026-09-25T12:40,2026-09-25T12:50,,Despegó,São Paulo (GRU),GRU,ROS → GRU,LA,LATAM Airlines,#0B044E,7,B,PR-XBO,Airbus A320neo,Airbus,A20N,e49aaa,LATAM Airlines,fids+fr24,63a6a347-52ef-4b7f-b2c3-8ac0e19b6b97,historico,histórico FR24,174
1716,Arrival,2026-09-25T16:45,2026-09-25T16:53,,Aterrizó,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-GVC,Boeing 737-887,Boeing,B738,e07583,,fids+fr24,b7743541-b681-4317-801c-61b1be0a17ef,real,,170
1705,Departure,2026-09-25T17:15,2026-09-25T17:51,,Despegó,Bariloche (BRC),BRC,ROS → BRC,AR,Aerolíneas Argentinas,#467FBC,3,A,LV-GVC,Boeing 737-887,Boeing,B738,e07583,,fids+fr24,219933e6-a79d-4e5e-8c28-57d08089105d,real,histórico FR24,170
1082,Arrival,2026-09-25T18:50,,,En horario,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,,Boeing 737-800,Boeing,B738,,,fids,926bebc8-c8dc-43ba-85f0-da930699b93e,cache_modelo,modelo del cache,170
1982,Departure,2026-09-25T19:30,,,Programado,Santa Cruz Viru Viru (VVI),VVI,ROS → VVI,AR,Aerolíneas Argentinas,#467FBC,3,A,,Boeing 737-800,Boeing,B738,,,fids,89878edf-7385-41c1-b84f-2f57b14d15f5,cache_modelo,modelo del cache,170
1712,Arrival,2026-09-25T19:55,2026-09-25T19:55,,Aterrizó,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-CPK,Embraer E190AR,Embraer,E190,e0340b,,fids+fr24,bbe1dac1-8bc7-4445-afb2-9f9596ba48a4,real,histórico FR24,96
1713,Departure,2026-09-25T20:25,2026-09-25T20:33,,Despegó,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,3,A,LV-CPK,Embraer E190AR,Embraer,E190,e0340b,,fids+fr24,fe68895f-0e7d-4538-b17f-bd521d06e0e3,real,histórico FR24,96
