vuelo,direccion,horario_local,horario_real,horario_estimado,estado,origen_destino,aeropuerto_iata,ruta,aerolinea_codigo,aerolinea_nombre,aerolinea_color,puerta,sector,matricula,modelo_avion,fabricante,icao_type_code,icao24_hex,operador,fuentes,id_externo,confianza,_nota,asientos
2433,Departure,2026-09-16T07:40,2026-09-16T08:07,,Despegó,Lima (LIM),LIM,ROS → LIM,LA,LATAM Airlines,#0B044E,7,B,CC-BAK,Airbus A320-232,Airbus,A320,e8041b,,fids,1999de59-a5c0-47cd-97c7-8e35fa29f2bf,historico,histórico FR24,174
1709,Departure,2026-09-16T08:00,2026-09-16T08:22,,Despegó,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,3,A,LV-GOO,Boeing 737-7BD,Boeing,B737,e073cf,,fids,e52ed752-9f04-48d8-900e-657a8bf01243,historico,histórico FR24,137
8170,Arrival,2026-09-16T11:40,2026-09-16T12:12,,Aterrizó,São Paulo (GRU),GRU,GRU → ROS,LA,LATAM Airlines,#0B044E,,,PR-XBE,Airbus A320neo,Airbus,A20N,e4953d,,fids,c63882f8-1703-4b12-9cec-08c71ae75b4c,historico,histórico FR24,174
1704,Arrival,2026-09-16T12:00,2026-09-16T11:45,,Aterrizó,Bariloche (BRC),BRC,BRC → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-FRK,Boeing 737-8BK,Boeing,B738,e0648b,,fids,6bcd7012-3bad-430f-9b2f-ee789706e11b,historico,histórico FR24,170
1715,Departure,2026-09-16T12:40,2026-09-16T12:46,,Despegó,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,3,A,LV-FRK,Boeing 737-8BK,Boeing,B738,e0648b,Aerolineas Argentinas,fids,8f4d31fe-29e6-43aa-88e9-06aa3fa7e838,historico,histórico FR24,170
8171,Departure,2026-09-16T12:40,2026-09-16T13:23,,Despegó,São Paulo (GRU),GRU,ROS → GRU,LA,LATAM Airlines,#0B044E,7,B,PR-XBE,Airbus A320neo,Airbus,A20N,e4953d,,fids,e40cbe4c-9315-490e-8385-d101c34d5f4c,historico,histórico FR24,174
1706,Arrival,2026-09-16T19:35,2026-09-16T19:37,,Aterrizó,Aeroparque (AEP),AEP,AEP → ROS,AR,Aerolíneas Argentinas,#467FBC,,,LV-CPJ,Embraer E190AR,Embraer,E190,e0340a,,fids+fr24,1004bd0e-84f0-4d64-a8cd-f92deb495acb,real,,96
1707,Departure,2026-09-16T20:05,2026-09-16T20:23,,Despegó,Aeroparque (AEP),AEP,ROS → AEP,AR,Aerolíneas Argentinas,#467FBC,3,A,LV-CPJ,Embraer E190AR,Embraer,E190,e0340a,,fids+fr24,7b68bef8-a57c-4cf1-91c5-be800311cba2,real,,96
882,Arrival,2026-09-17T00:12,2026-09-17T00:22,,Aterrizó,Panamá (PTY),PTY,PTY → ROS,CM,Copa Airlines,#15349E,,,HP-9802CMP,Boeing 737 MAX 8,Boeing,B38M,0c21a4,Copa Airlines,fids+fr24,69f361a5-b468-45a6-a9df-b8616ebf4d72,real,histórico FR24,166
836,Departure,2026-09-17T01:23,2026-09-17T01:52,,Despegó,Panamá (PTY),PTY,ROS → PTY,CM,Copa Airlines,#15349E,7,B,HP-9820CMP,Boeing 737 MAX 8,Boeing,B38M,0c21fc,,fids+fr24,744fb012-0f59-41f4-9083-0da4401ba5ac,historico,histórico FR24,166
